"Skype for Business needs your Exchange credentials to show all your meetings and voice mail information.",,"Skype for Business benötigt Ihre Exchange-Anmeldeinformationen, um Ihre sämtlichen Besprechungs- und Voicemailinformationen anzuzeigen.",,"None",,"All",,"Skype for Business for iOS",,""
"Exchange Web Services FQDN or URL",,"FQDN oder URL für Exchange-Webdienste",,"None",,"All",,"Skype for Business for iOS",,""
"Exit Full Screen",,"Vollbildmodus beenden",,"None",,"All",,"Skype for Business for iOS",,""
"Group %@, Expanded",,"Gruppe %@, erweitert",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to collapse.",,"Doppeltippen Sie zum Reduzieren.",,"None",,"All",,"Skype for Business for iOS",,""
"External Discovery Address",,"Erkannte externe Adresse",,"None",,"All",,"Skype for Business for iOS",,""
"Call me back",,"Rückruf",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is currently added to favorites",,"%@ ist derzeit zu den Favoriten hinzugefügt",,"None",,"All",,"Skype for Business for iOS",,""
"Please fill in required fields correctly before sending the feedback.",,"Füllen Sie erforderliche Felder ordnungsgemäß aus, bevor Sie das Feedback senden.",,"None",,"All",,"Skype for Business for iOS",,""
"Failed to send the feedback. Please verify your internet connection.",,"Fehler beim Senden des Feedbacks. Überprüfen Sie Ihre Internetverbindung.",,"None",,"All",,"Skype for Business for iOS",,""
"Choose...",,"Wählen...",,"None",,"All",,"Skype for Business for iOS",,""
"Steps to reproduce the issue \n1.\n2.\n3.\n",,"Schritte zum Reproduzieren des Problems \n1.\n2.\n3.\n",,"None",,"All",,"Skype for Business for iOS",,""
"Current",,"Aktuell",,"None",,"All",,"Skype for Business for iOS",,""
"Dogfood feedback",,"Dogfood-Feedback",,"None",,"All",,"Skype for Business for iOS",,""
"Your e-mail address",,"Ihre E-Mail-Adresse",,"None",,"All",,"Skype for Business for iOS",,""
"Please enter the issue title.",,"Geben Sie den Problemtitel ein.",,"None",,"All",,"Skype for Business for iOS",,""
"Feedback",,"Feedback",,"None",,"All",,"Skype for Business for iOS",,""
"Include Screenshot",,"Screenshot einschließen",,"None",,"All",,"Skype for Business for iOS",,""
"Retrieve logs",,"Protokolle erhalten",,"None",,"All",,"Skype for Business for iOS",,""
"Do you want to send feedback to developers or retrieve log files via e-mail?",,"Möchten Sie Feedback an Entwickler senden oder Protokolldateien per E-Mail erhalten?",,"None",,"All",,"Skype for Business for iOS",,""
"Send feedback",,"Feedback senden",,"None",,"All",,"Skype for Business for iOS",,""
"NOTE: Data sent in report submissions will be “Support Data” under your agreement for Office 365 (or Skype), including any information that would otherwise be considered “Customer Data” or “Personal Data”.Please do not submit reports that may include data you do not wish to provide to Microsoft as “Support Data”.\n\nWe may not respond directly, but we do review and discuss every submission.",,"HINWEIS: In Berichten gesendete Daten sind im Rahmen Ihres Vertrags für Office 365 (oder Skype) „Supportdaten“, einschließlich aller Informationen, die ansonsten als „Kundendaten“ oder „Personenbezogene Daten“ gelten würden. Bitte senden Sie keine Berichte, die Daten enthalten, die Sie Microsoft nicht als „Supportdaten“ bereitstellen möchten.\n\nWir antworten möglicherweise nicht sofort, alle Einreichungen werden aber geprüft und besprochen.",,"None",,"All",,"Skype for Business for iOS",,""
"Microsoft Privacy Statement",,"Microsoft-Datenschutzbestimmungen",,"None",,"All",,"Skype for Business for iOS",,""
"Send",,"Senden",,"None",,"All",,"Skype for Business for iOS",,""
"New Settings:",,"Neue Einstellungen:",,"None",,"All",,"Skype for Business for iOS",,""
"Your current settings:",,"Ihre aktuellen Einstellungen:",,"None",,"All",,"Skype for Business for iOS",,""
"CHANGE CALL FORWARDING SETTINGS?",,"EINSTELLUNGEN FÜR DIE ANRUFWEITERLEITUNG ÄNDERN?",,"None",,"All",,"Skype for Business for iOS",,""
"Can we change this so work calls will simultaneously ring you at work and at %@?",,"Können wir das ändern, damit geschäftliche Anrufe zugleich bei Ihrer Arbeit und bei %@ eingehen?",,"None",,"All",,"Skype for Business for iOS",,""
"You've entered your phone number to get work calls. Now we need to change your current call forwarding settings so that your phone will ring.",,"Sie haben Ihre Rufnummer eingegeben, um geschäftliche Anrufe zu erhalten. Jetzt müssen Ihre aktuellen Einstellungen für die Anrufweiterleitung geändert werden, damit Ihr Telefon klingelt.",,"None",,"All",,"Skype for Business for iOS",,""
"Lync is now Skype for Business - bringing together the experience of Skype with the enterprise quality of Microsoft.",,"Lync heißt jetzt Skype for Business – so werden das Benutzererlebnis von Skype mit der geschäftlichen Kompetenz von Microsoft zusammengeführt.",,"None",,"All",,"Skype for Business for iOS",,""
"Anyone can use this app to join a Skype Meeting, but to enjoy all the features, you need a Skype for Business account and your organization must have enabled this app.",,"Jeder kann diese App verwenden, um an einer Skype-Besprechung teilzunehmen. Um jedoch alle Funktionen nutzen zu können, benötigen Sie ein Skype for Business-Konto. Außerdem muss Ihre Organisation diese App aktivieren.",,"None",,"All",,"Skype for Business for iOS",,""
"YOU'RE ALL SET!",,"SIE HABEN'S GESCHAFFT!",,"None",,"All",,"Skype for Business for iOS",,""
"You can make changes anytime in Settings.",,""Unter ""Einstellungen"" können Sie jederzeit Änderungen vornehmen."",,"None",,"All",,"Skype for Business for iOS",,""
"WELCOME!",,"WILLKOMMEN!",,"None",,"All",,"Skype for Business for iOS",,""
"Before You Start",,"Bevor Sie beginnen",,"None",,"All",,"Skype for Business for iOS",,""
"Forward Calls",,"Anrufe weiterleiten",,"None",,"All",,"Skype for Business for iOS",,""
"Forward Calls To",,"Anrufe weiterleiten an",,"None",,"All",,"Skype for Business for iOS",,""
"Select Number",,"Nummer auswählen",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will be forwarded directly to %@. If that's not your mobile number, you won't receive calls on your mobile phone.",,"Anrufe werden direkt an %@ weitergeleitet. Wenn dies nicht Ihre Mobilnummer ist, empfangen Sie keine Anrufe auf Ihrem Mobiltelefon.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will be forwarded directly to %@.",,"Anrufe werden direkt an %@ weitergeleitet.",,"None",,"All",,"Skype for Business for iOS",,""
"Calls will be forwarded directly to %@ and not ring your iPad.",,"Anrufe werden direkt an %@ weitergeleitet und gehen nicht bei Ihrem iPad ein.",,"None",,"All",,"Skype for Business for iOS",,""
"Forwarded by %@",,"Weitergeleitet von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Full Screen",,"Vollbild",,"None",,"All",,"Skype for Business for iOS",,""
"A server error occurred. Please try again.",,"Serverfehler. Wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect to the server. Retrying...",,"Es kann keine Serververbindung hergestellt werden. Wird wiederholt...",,"None",,"All",,"Skype for Business for iOS",,""
"To complete the call, we're calling you back. Do you want to continue?",,"Wir rufen Sie zurück, um den Anruf abzuschließen. Möchten Sie fortfahren?",,"None",,"All",,"Skype for Business for iOS",,""
"Get a Call Back",,"Rückruf vereinbaren",,"None",,"All",,"Skype for Business for iOS",,""
"Group Conversation",,"Gruppenunterhaltung",,"None",,"All",,"Skype for Business for iOS",,""
"Group card",,"Gruppenkarte",,"None",,"All",,"Skype for Business for iOS",,""
"The group is too large to display.",,"Die Gruppe ist zu groß, um angezeigt zu werden.",,"None",,"All",,"Skype for Business for iOS",,""
"Groups",,"Gruppen",,"None",,"All",,"Skype for Business for iOS",,""
"Guest",,"Gast",,"None",,"All",,"Skype for Business for iOS",,""
"Hide",,"Ausblenden",,"None",,"All",,"Skype for Business for iOS",,""
"HTTP Proxy",,"HTTP-Proxy",,"None",,"All",,"Skype for Business for iOS",,""
"Hang Up",,"Auflegen",,"None",,"All",,"Skype for Business for iOS",,""
"Headphones",,"Kopfhörer",,"None",,"All",,"Skype for Business for iOS",,""
"Hide Advanced Options",,"Erweiterte Optionen ausblenden",,"None",,"All",,"Skype for Business for iOS",,""
"Hide Keypad",,"Wähltastatur ausblenden",,"None",,"All",,"Skype for Business for iOS",,""
"Hold call",,"Anruf halten",,"None",,"All",,"Skype for Business for iOS",,""
"Home",,"Privat",,"None",,"All",,"Skype for Business for iOS",,""
"To finish setting up your HTTP Proxy, please use your %@ Wi-Fi settings.",,"Verwenden Sie die %@-WLAN-Einstellungen, um das Einrichten des HTTP-Proxys abzuschließen.",,"None",,"All",,"Skype for Business for iOS",,""
"Http Proxy",,"HTTP-Proxy",,"None",,"All",,"Skype for Business for iOS",,""
"IM",,"Chat",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is inviting you to a group conversation. Double-tap to accept.",,"%@ lädt Sie zu einer Gruppenunterhaltung ein. Zum Annehmen doppeltippen.",,"None",,"All",,"Skype for Business for iOS",,""
"IM Only",,"Nur Sofortnachrichten",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is inviting you to a conversation. Double-tap to accept.",,"%@ lädt Sie zu einer Unterhaltung ein. Zum Annehmen doppeltippen.",,"None",,"All",,"Skype for Business for iOS",,""
"LOBBY (%d)",,"WARTEBEREICH (%d)",,"None",,"All",,"Skype for Business for iOS",,""
"In a call",,"Am Telefon",,"None",,"All",,"Skype for Business for iOS",,""
"In a conference call",,"In einem Konferenzanruf",,"None",,"All",,"Skype for Business for iOS",,""
"In a meeting",,"In einer Besprechung",,"None",,"All",,"Skype for Business for iOS",,""
"In presentation",,"In einer Präsentation",,"None",,"All",,"Skype for Business for iOS",,""
"Inactive",,"Inaktiv",,"None",,"All",,"Skype for Business for iOS",,""
"Instant Messaging",,"Instant Messaging",,"None",,"All",,"Skype for Business for iOS",,""
"Internal Discovery Address",,"Erkannte interne Adresse",,"None",,"All",,"Skype for Business for iOS",,""
"Invite",,"Einladen",,"None",,"All",,"Skype for Business for iOS",,""
"Invite Others",,"Andere einladen",,"None",,"All",,"Skype for Business for iOS",,""
"INVITEES",,"EINGELADENE",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is calling %@",,"%@ ruft %@ an",,"None",,"All",,"Skype for Business for iOS",,""
"The meeting connection was lost.",,"Die Besprechungsverbindung wurde getrennt.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you to the meeting without your phone number. Please add your phone number in Skype for Business options.",,"Ohne Ihre Telefonnummer kann keine Verbindung zur Besprechung hergestellt werden. Geben Sie Ihre Telefonnummer in den Skype for Business-Optionen ein.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you to the meeting without your iPhone number. Please add your iPhone number in Skype for Business options.",,"Ohne Ihre iPhone-Nummer kann keine Verbindung zur Besprechung hergestellt werden. Geben Sie Ihre iPhone-Nummer in den Skype for Business-Optionen ein.",,"None",,"All",,"Skype for Business for iOS",,""
"Join Meeting",,"An Besprechung teilnehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Joining the Meeting\n%@",,"Der Besprechung beitreten\n%@",,"None",,"All",,"Skype for Business for iOS",,""
"Joining meeting",,"An der Besprechung teilnehmen",,"None",,"All",,"Skype for Business for iOS",,""
"Calling you back on %@...",,"Rückruf an %@...",,"None",,"All",,"Skype for Business for iOS",,""
"Hello. You're in our virtual lobby, so make yourself comfortable. Please don’t move away from the app—the organizer will let you in soon.",,"Hallo. Sie befinden sich im virtuellen Wartebereich. Machen Sie es sich gemütlich, aber behalten Sie die App im Blick – der Organisator lässt Sie bald ein.",,"None",,"All",,"Skype for Business for iOS",,""
"We can’t connect you because the meeting is full. Try contacting the organizer.",,"Wir können Sie nicht verbinden, da die Besprechung voll ist. Versuchen Sie, sich mit dem Organisator in Verbindung zu setzen.",,"None",,"All",,"Skype for Business for iOS",,""
"The connection was lost. Tap Join to try again.",,""Die Verbindung wurde getrennt. Tippen Sie auf ""Teilnehmen"", um den Vorgang zu wiederholen."",,"None",,"All",,"Skype for Business for iOS",,""
"You weren't admitted because the organizer isn’t there or didn’t respond.",,"Sie wurden nicht zugelassen, da der Organisator nicht anwesend ist oder nicht geantwortet hat.",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to open audio routing options",,"Doppeltippen, um die Audioroutingoptionen zu öffnen",,"None",,"All",,"Skype for Business for iOS",,""
"Audio button",,"Audiotaste",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to open audio routing options.",,"Doppeltippen Sie, um die Audioroutingoptionen zu öffnen.",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to unmute.",,"Doppeltippen, um Stummschaltung aufzuheben.",,"None",,"All",,"Skype for Business for iOS",,""
"Call muted",,"Anruf stummgeschaltet",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to mute.",,"Zum Stummschalten doppeltippen.",,"None",,"All",,"Skype for Business for iOS",,""
"Call unmuted",,"Stummschaltung aufgehoben",,"None",,"All",,"Skype for Business for iOS",,""
"Resume call",,"Anruf fortsetzen",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn speaker phone on.",,"Doppeltippen, um Lautsprecher zu aktivieren.",,"None",,"All",,"Skype for Business for iOS",,""
"Speaker phone is turned off",,"Lautsprecher ist deaktiviert",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn speaker phone off.",,"Doppeltippen, um Lautsprecher zu deaktivieren.",,"None",,"All",,"Skype for Business for iOS",,""
"Speaker phone is turned on",,"Lautsprecher ist aktiviert",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn video on.",,"Doppeltippen, um Videofunktion zu aktivieren.",,"None",,"All",,"Skype for Business for iOS",,""
"Video is turned off",,"Videofunktion ist deaktiviert",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to turn video off.",,"Doppeltippen, um Videofunktion zu deaktivieren.",,"None",,"All",,"Skype for Business for iOS",,""
"Video is turned on",,"Videofunktion ist aktiviert",,"None",,"All",,"Skype for Business for iOS",,""
"Large Meeting",,"Große Besprechung",,"None",,"All",,"Skype for Business for iOS",,""
"The participant list isn't available for large meetings.",,"Die Teilnehmerliste ist für große Besprechungen nicht verfügbar.",,"None",,"All",,"Skype for Business for iOS",,""
"Speaker info isn't available for large meetings.",,"In großen Besprechungen sind keine Sprecherinformationen verfügbar.",,"None",,"All",,"Skype for Business for iOS",,""
"Leave Video",,"Video verlassen",,"None",,"All",,"Skype for Business for iOS",,""
"Let's begin...",,"Fangen wir an...",,"None",,"All",,"Skype for Business for iOS",,""
"link",,"Link",,"None",,"All",,"Skype for Business for iOS",,""
"Loading name...",,"Der Name wird geladen...",,"None",,"All",,"Skype for Business for iOS",,""
"Looks like you're the only one on the call.",,"Sie scheinen der einzige Teilnehmer des Anrufs zu sein.",,"None",,"All",,"Skype for Business for iOS",,""
"Local hold succeeded",,"Der Anruf wird lokal gehalten.",,"None",,"All",,"Skype for Business for iOS",,""
"Local Unhold Succeeded",,"Das lokale Halten des Anrufs wurde aufgehoben.",,"None",,"All",,"Skype for Business for iOS",,""
"location",,"Ort",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business Log Files",,"Skype for Business-Protokolldateien",,"None",,"All",,"Skype for Business for iOS",,""
"Logging",,"Protokollierung",,"None",,"All",,"Skype for Business for iOS",,""
"Skype® for Business for %1$@",,"Skype® for Business für %1$@",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business call",,"Skype for Business-Anruf",,"None",,"All",,"Skype for Business for iOS",,""
"Skype Meeting",,"Skype-Besprechung",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business is signing in",,"Skype for Business meldet Sie an",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business is signing out",,"Skype for Business meldet Sie ab",,"None",,"All",,"Skype for Business for iOS",,""
"%@ Quit Unexpectedly",,"%@ wurde unerwartet beendet",,"None",,"All",,"Skype for Business for iOS",,""
"Double-tap to edit",,"Zum Bearbeiten doppeltippen",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your personal note",,"Persönliche Notiz eingeben",,"None",,"All",,"Skype for Business for iOS",,""
"Personal note",,"Persönliche Notiz",,"None",,"All",,"Skype for Business for iOS",,""
"Anyone can use the Skype for Business mobile app when invited to a Skype Meeting. However, to enjoy the full capability of the app, you must have a Skype for Business account.",,"Jeder kann die mobile Skype for Business-App verwenden, wenn eine Einladung zu einer Skype-Besprechung erfolgt ist. Jedoch müssen Sie über ein Skype for Business-Konto verfügen, um die Funktionen der App in vollem Umfang nutzen zu können.",,"None",,"All",,"Skype for Business for iOS",,""
"%d+ Participants",,"%d+ Teilnehmer",,"None",,"All",,"Skype for Business for iOS",,""
"Me: %@",,"Ich: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Double tap to meet now.",,"Doppeltippen Sie, um jetzt eine Besprechung zu beginnen.",,"None",,"All",,"Skype for Business for iOS",,""
"Create and start a new ad-hoc online meeting",,"Neue Ad-Hoc-Onlinebesprechung erstellen und starten",,"None",,"All",,"Skype for Business for iOS",,""
"You won't see presented content because you're not connected to Wi-Fi.",,"Sie können Präsentationsinhalte nicht sehen, da Sie nicht per WLAN verbunden sind.",,"None",,"All",,"Skype for Business for iOS",,""
"When joining a meeting, if Wi-Fi is not available, we will call you on %@",,"Wenn bei der Teilnahme an einer Besprechung kein WLAN verfügbar ist, rufen wir Sie auf %@ an",,"None",,"All",,"Skype for Business for iOS",,""
"When joining a meeting, Wi-Fi will be used when available - then use your data plan",,"Bei der Teilnahme an einer Besprechung wird WLAN verwendet, wenn verfügbar – nutzen Sie dann Ihren Datentarif",,"None",,"All",,"Skype for Business for iOS",,""
"If you’re not the organizer, your mic will be muted when you join.",,"Wenn Sie nicht der Organisator sind, wird Ihr Mikro bei der Teilnahme stummgeschaltet.",,"None",,"All",,"Skype for Business for iOS",,""
"Meetings",,"Besprech.",,"None",,"All",,"Skype for Business for iOS",,""
"Meetings",,"Besprechungen",,"None",,"All",,"Skype for Business for iOS",,""
"Today",,"Heute",,"None",,"All",,"Skype for Business for iOS",,""
"Tomorrow",,"Morgen",,"None",,"All",,"Skype for Business for iOS",,""
"MEMBERS",,"MITGLIEDER",,"None",,"All",,"Skype for Business for iOS",,""
"Message sent.",,"Nachricht gesendet.",,"None",,"All",,"Skype for Business for iOS",,""
"Microphone Access",,"Mikrofonzugriff",,"None",,"All",,"Skype for Business for iOS",,""
"Skype for Business needs to use your microphone so others can hear you on a call.",,"Skype for Business muss Ihr Mikrofon verwenden, damit die anderen Teilnehmer Sie im Anruf hören können.",,"None",,"All",,"Skype for Business for iOS",,""
"Missed: %@",,"Verpasst: %@",,"None",,"All",,"Skype for Business for iOS",,""
"Missed call from %@",,"Verpasster Anruf von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Missed conference call from %@",,"Verpasster Konferenzanruf von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Missed collaboration session from %@",,"Verpasste Zusammenarbeitssitzung von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Missed Conversation",,"Verpasste Unterhaltung",,"None",,"All",,"Skype for Business for iOS",,""
"Missed instant message from %@",,"Verpasste Chatnachricht von %@",,"None",,"All",,"Skype for Business for iOS",,""
"You have %d new voice mails",,"Sie haben %d neue Voicemails.",,"None",,"All",,"Skype for Business for iOS",,""
"Missed video call from %@",,"Verpasster Videoanruf von %@",,"None",,"All",,"Skype for Business for iOS",,""
"This call can't be completed. Please enter your phone number in Options and try the call again.",,""Die Verbindung kann nicht hergestellt werden. Geben Sie in ""Optionen"" Ihre Telefonnummer ein, und wiederholen Sie den Anrufversuch."",,"None",,"All",,"Skype for Business for iOS",,""
"Missing Phone Number",,"Fehlende Rufnummer",,"None",,"All",,"Skype for Business for iOS",,""
"This call can't be completed. Please enter your iPhone number in Options and try the call again.",,""Die Verbindung kann nicht hergestellt werden. Geben Sie in ""Optionen"" Ihre iPhone-Nummer ein, und wiederholen Sie den Anrufversuch."",,"None",,"All",,"Skype for Business for iOS",,""
"The manually configured server is missing. Please check it and retry.",,"Der manuell konfigurierte Server fehlt. Überprüfen und wiederholen Sie den Vorgang.",,"None",,"All",,"Skype for Business for iOS",,""
"Answer calls from the lock screen, and log calls on your device.",,"Beantworten Sie Anrufe über den Sperrbildschirm und protokollieren Sie Anrufe auf Ihrem Gerät.",,"None",,"All",,"Skype for Business for iOS",,""
"Answer calls from the lock screen, log calls on your device, and place calls from your Contacts list.",,"Beantworten Sie Anrufe über den Sperrbildschirm, protokollieren Sie Anrufe auf Ihrem Gerät und tätigen Sie Anrufe von Ihrer Kontaktliste aus.",,"None",,"All",,"Skype for Business for iOS",,""
"Make calls right from your device's Contacts list.",,"Tätigen Sie Anrufe direkt von der Kontaktliste Ihres Geräts aus.",,"None",,"All",,"Skype for Business for iOS",,""
"Mobile Integration",,"Mobile Integration",,"None",,"All",,"Skype for Business for iOS",,""
"Show Advanced Options",,"Erweiterte Optionen anzeigen",,"None",,"All",,"Skype for Business for iOS",,""
"More Options",,"Weitere Optionen",,"None",,"All",,"Skype for Business for iOS",,""
"To hear older voice mails, tap and hold 1 on the keypad, or go to Outlook.",,""Tippen und halten Sie ""1"" auf der Wähltastatur, oder wechseln Sie zu Outlook, um ältere Voicemails wiederzugeben."",,"None",,"All",,"Skype for Business for iOS",,""
"Go to Outlook to hear older voice mails.",,"Zu Outlook wechseln, um ältere Voicemails wiederzugeben.",,"None",,"All",,"Skype for Business for iOS",,""
"To listen to older voice mail messages, tap on the voice mail icon.",,"Tippen Sie auf das Voicemailsymbol, um ältere Voicemailnachrichten wiederzugeben.",,"None",,"All",,"Skype for Business for iOS",,""
"Someone is recording",,"Jemand zeichnet auf.",,"None",,"All",,"Skype for Business for iOS",,""
"Mute",,"Stumm schalten",,"None",,"All",,"Skype for Business for iOS",,""
"Mute Speaker",,"Lautsprecher stummschalten",,"None",,"All",,"Skype for Business for iOS",,""
"Muted",,"Stummgeschaltet",,"None",,"All",,"Skype for Business for iOS",,""
"My Mobile Number",,"Meine Mobilnummer",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your iPhone number with country and region codes:",,"Geben Sie Ihre iPhone-Nummer mit Landes- und Regionsvorwahlen ein:",,"None",,"All",,"Skype for Business for iOS",,""
"We need your iPhone number with country and region codes:",,"Wir benötigen Ihre iPhone-Nummer zusammen mit dem Länder-/Regionscode:",,"None",,"All",,"Skype for Business for iOS",,""
"We need your phone number with country and region codes:",,"Wir benötigen Ihre Rufnummer zusammen mit dem Länder-/Regionscode:",,"None",,"All",,"Skype for Business for iOS",,""
"Enter your phone number with country and region codes:",,"Geben Sie Ihre Rufnummer mit Landes- und Regionsvorwahlen ein:",,"None",,"All",,"Skype for Business for iOS",,""
"This lets you make and get work calls, and join meetings from Skype for Business.\n(If you use VoIP, and it's unavailable, this is your backup.)",,"Hiermit können Sie geschäftliche Anrufe führen und annehmen und über Skype for Business an Besprechungen teilnehmen.\n(Wenn Sie VoIP verwenden und das nicht verfügbar ist, ist dies Ihr Ausweichkanal.)",,"None",,"All",,"Skype for Business for iOS",,""
"This lets you join meetings from Skype for Business.\n(If you use VoIP, and it's unavailable, this is your backup.)",,"Hiermit können Sie über Skype for Business an Besprechungen teilnehmen.\n(Wenn Sie VoIP verwenden und das nicht verfügbar ist, ist dies Ihr Ausweichkanal.)",,"None",,"All",,"Skype for Business for iOS",,""
"NEVER MISS YOUR WORK CALLS",,"VERPASSEN SIE NIE IHRE GESCHÄFTLICHEN ANRUFE",,"None",,"All",,"Skype for Business for iOS",,""
"NEVER MISS A MEETING",,"VERPASSEN SIE NIE EINE BESPRECHUNG",,"None",,"All",,"Skype for Business for iOS",,""
"My Info",,"Status",,"None",,"All",,"Skype for Business for iOS",,""
"Move back a slide",,"Eine Folie zurück",,"None",,"All",,"Skype for Business for iOS",,""
"Move forward a slide",,"Eine Folie vorwärts",,"None",,"All",,"Skype for Business for iOS",,""
"We need your password to sign in.",,"Wir benötigen Ihr Kennwort für die Anmeldung.",,"None",,"All",,"Skype for Business for iOS",,""
"New Contact",,"Neuer Kontakt",,"None",,"All",,"Skype for Business for iOS",,""
"New Number",,"Neue Nummer",,"None",,"All",,"Skype for Business for iOS",,""
"Next",,"Weiter",,"None",,"All",,"Skype for Business for iOS",,""
"No Contacts",,"Keine Kontakte",,"None",,"All",,"Skype for Business for iOS",,""
"Your contacts will appear here",,"Ihre Kontakte werden hier angezeigt",,"None",,"All",,"Skype for Business for iOS",,""
"No Conversations",,"Keine Unterhaltungen",,"None",,"All",,"Skype for Business for iOS",,""
"You currently have no conversations",,"Sie führen derzeit keine Unterhaltungen.",,"None",,"All",,"Skype for Business for iOS",,""
"No IM",,"Keine Chat",,"None",,"All",,"Skype for Business for iOS",,""
"No Meetings",,"Keine Besprechungen",,"None",,"All",,"Skype for Business for iOS",,""
"Your meetings will appear here",,"Ihre Besprechungen werden hier angezeigt",,"None",,"All",,"Skype for Business for iOS",,""
"You don't have any meetings scheduled",,"Für Sie sind keine Besprechungen geplant.",,"None",,"All",,"Skype for Business for iOS",,""
"No Name",,"Kein Name",,"None",,"All",,"Skype for Business for iOS",,""
"No other participants",,"Keine weiteren Teilnehmer",,"None",,"All",,"Skype for Business for iOS",,""
"No Participants",,"Keine Teilnehmer",,"None",,"All",,"Skype for Business for iOS",,""
"There are no participants in this conversation",,"Diese Unterhaltung enthält keine Teilnehmer.",,"None",,"All",,"Skype for Business for iOS",,""
"No Results",,"Keine Ergebnisse",,"None",,"All",,"Skype for Business for iOS",,""
"No Voice",,"Kein VoIP",,"None",,"All",,"Skype for Business for iOS",,""
"No Voice Mail",,"Keine Voicemail",,"None",,"All",,"Skype for Business for iOS",,""
"Your voicemails will appear here",,"Ihre Voicemails werden hier angezeigt",,"None",,"All",,"Skype for Business for iOS",,""
"No members",,"Keine Mitglieder",,"None",,"All",,"Skype for Business for iOS",,""
"None",,"Keine",,"None",,"All",,"Skype for Business for iOS",,""
"%@ is currently not added to favorites",,"%@ ist derzeit nicht zu den Favoriten hinzugefügt",,"None",,"All",,"Skype for Business for iOS",,""
"Not now",,"Jetzt nicht",,"None",,"All",,"Skype for Business for iOS",,""
"Not Sure",,"Weiß nicht",,"None",,"All",,"Skype for Business for iOS",,""
"Not a Skype for Business User?",,"Kein Skype for Business-Benutzer?",,"None",,"All",,"Skype for Business for iOS",,""
"This feature has not been implemented yet. Please try again in a future release.",,"Diese Funktion wurde noch nicht eingeführt. Versuchen Sie es in einer späteren Version erneut.",,"None",,"All",,"Skype for Business for iOS",,""
"Note",,"Notiz",,"None",,"All",,"Skype for Business for iOS",,""
"NOTES",,"NOTIZEN",,"None",,"All",,"Skype for Business for iOS",,""
"Off",,"Aus",,"None",,"All",,"Skype for Business for iOS",,""
"Off Work",,"Nicht bei der Arbeit",,"None",,"All",,"Skype for Business for iOS",,""
"Office",,"Büro",,"None",,"All",,"Skype for Business for iOS",,""
"Offline",,"Offline",,"None",,"All",,"Skype for Business for iOS",,""
"On",,"Ein",,"None",,"All",,"Skype for Business for iOS",,""
"On behalf of %@",,"Im Auftrag von %@",,"None",,"All",,"Skype for Business for iOS",,""
"Your %@ call is on hold.",,"Ihr %@-Anruf wird gehalten.",,"None",,"All",,"Skype for Business for iOS",,""
"Your %@ call has been been terminated.",,"Ihr %@-Anruf wurde beendet.",,"None",,"All",,"Skype for Business for iOS",,""
"Contacts are now integrated with your phone, providing more calling options",,"Kontakte sind jetzt in Ihr Telefon integriert, und es stehen mehr Anrufoptionen zur Verfügung",,"None",,"All",,"Skype for Business for iOS",,""
"Got it",,"Verstanden",,"None",,"All",,"Skype for Business for iOS",,""
"You can turn this off in Settings",,"Sie können dies in den Einstellungen deaktivieren",,"None",,"All",,"Skype for Business for iOS",,""
"We've merged some calling features with your iPad",,"Wir haben einige Anruffunktionen mit Ihrem iPad zusammengeführt.",,"None",,"All",,"Skype for Business for iOS",,""
"We've merged some calling features with your phone",,"Wir haben einige Anruffunktionen mit Ihrem Telefon zusammengeführt",,"None",,"All",,"Skype for Business for iOS",,""
